Date,Amount,Debit/Credit,Detail,Running Balance
06-05-2026,2270.0,Debit,Rashan grocery kharcha,241250
06-05-2026,2520.0,Debit,Transfer sent,189380
06-05-2026,2780.0,Debit,Rashan grocery kharcha,156850
06-05-2026,1910.0,Debit,Misc kharcha,137010
06-05-2026,2140.0,Debit,Atta flour,96690
06-05-2026,4640.0,Debit,K-Electric bijli bill,88550
06-05-2026,2150.0,Debit,Rashan grocery kharcha,86400
07-05-2026,4080.0,Credit,QR sale customer,80470
07-05-2026,2410.0,Credit,Shop sale,102560
07-05-2026,4780.0,Credit,POS receipt,212160
07-05-2026,2150.0,Debit,Rashan grocery kharcha,173350
08-05-2026,3250.0,Credit,QR sale customer,117330
08-05-2026,2670.0,Debit,Atta flour,154180
08-05-2026,1740.0,Debit,Transfer sent,127210
09-05-2026,5140.0,Credit,QR sale customer,157890
10-05-2026,6100.0,Credit,P2P received wallet,66020
10-05-2026,5250.0,Credit,Shop sale,170100
10-05-2026,1730.0,Debit,Fuel,164140
11-05-2026,3310.0,Credit,Shop sale,86260
11-05-2026,3090.0,Debit,Atta flour,133920
11-05-2026,2560.0,Debit,Wholesale stock,122770
11-05-2026,1270.0,Debit,P2P sent,93190
12-05-2026,4230.0,Credit,Shop sale,224260
12-05-2026,3820.0,Debit,Wholesale stock,237430
12-05-2026,2910.0,Debit,Atta flour,169320
13-05-2026,3620.0,Credit,Transfer received,185070
13-05-2026,2850.0,Credit,P2P received wallet,236330
13-05-2026,1320.0,Debit,Transfer sent,201340
13-05-2026,320.0,Debit,Mobile easyload topup,105900
14-05-2026,4380.0,Credit,Shop sale,43710
14-05-2026,3750.0,Credit,P2P received wallet,129170
14-05-2026,3940.0,Credit,Transfer received,202540
14-05-2026,2060.0,Debit,Rashan grocery kharcha,181070
15-05-2026,4860.0,Credit,Cash in from Bilal,246460
15-05-2026,1780.0,Debit,Atta flour,248520
15-05-2026,2390.0,Debit,P2P sent,224070
15-05-2026,4850.0,Debit,K-Electric bijli bill,202660
15-05-2026,2180.0,Debit,Misc kharcha,114550
16-05-2026,4090.0,Credit,POS receipt,59920
16-05-2026,3330.0,Credit,Cash in from Bilal,114080
16-05-2026,5590.0,Credit,POS receipt,146960
16-05-2026,5560.0,Debit,K-Electric bijli bill,195780
16-05-2026,3110.0,Debit,Rashan grocery kharcha,175500
16-05-2026,1880.0,Debit,Atta flour,125330
17-05-2026,1180.0,Debit,P2P sent,188200
17-05-2026,3500.0,Debit,Rashan grocery kharcha,119270
18-05-2026,4720.0,Credit,Cash in from Bilal,181450
18-05-2026,2730.0,Credit,POS receipt,192060
18-05-2026,2990.0,Debit,P2P sent,183130
18-05-2026,7490.0,Debit,K-Electric bijli bill,146580
18-05-2026,7440.0,Debit,K-Electric bijli bill,139140
18-05-2026,2540.0,Debit,Wholesale stock,116730
19-05-2026,3040.0,Credit,Shop sale,164850
19-05-2026,3840.0,Credit,Shop sale,176730
19-05-2026,4020.0,Credit,P2P received wallet,216180
19-05-2026,1510.0,Debit,Rashan grocery kharcha,235680
19-05-2026,2000.0,Debit,Transfer sent,162140
19-05-2026,2510.0,Debit,P2P sent,159630
20-05-2026,4530.0,Credit,QR sale customer,96360
20-05-2026,4410.0,Credit,QR sale customer,121740
20-05-2026,2780.0,Debit,Fuel,245740
20-05-2026,1920.0,Debit,P2P sent,191900
21-05-2026,4610.0,Credit,Shop sale,55830
21-05-2026,4540.0,Credit,Shop sale,107100
21-05-2026,3700.0,Credit,QR sale customer,233480
21-05-2026,1140.0,Debit,Fuel,178610
22-05-2026,6580.0,Debit,K-Electric bijli bill,226460
22-05-2026,3380.0,Debit,Rashan grocery kharcha,217200
22-05-2026,300.0,Debit,Mobile easyload topup,193820
23-05-2026,3060.0,Credit,Shop sale,35490
23-05-2026,2490.0,Debit,Transfer sent,209500
23-05-2026,510.0,Debit,Mobile easyload topup,130390
23-05-2026,1130.0,Debit,Misc kharcha,129260
24-05-2026,2480.0,Credit,POS receipt,82950
24-05-2026,3170.0,Credit,Shop sale,227430
24-05-2026,3450.0,Debit,Rashan grocery kharcha,165870
25-05-2026,4920.0,Credit,Cash in from Bilal,32430
25-05-2026,4180.0,Credit,QR sale customer,133350
25-05-2026,5790.0,Credit,Shop sale,152750
25-05-2026,2510.0,Debit,Transfer sent,250300
25-05-2026,240.0,Debit,Mobile easyload topup,237190
25-05-2026,2520.0,Debit,Rashan grocery kharcha,107870
28-05-2026,6020.0,Credit,QR sale customer,264770
28-05-2026,4010.0,Credit,QR sale customer,283720
28-05-2026,2400.0,Debit,Transfer sent,315290
28-05-2026,2700.0,Debit,Rashan grocery kharcha,299580
28-05-2026,540.0,Debit,Mobile easyload topup,292510
28-05-2026,1680.0,Debit,Transfer sent,226320
29-05-2026,4900.0,Credit,POS receipt,129080
29-05-2026,7260.0,Debit,K-Electric bijli bill,323160
29-05-2026,2090.0,Debit,P2P sent,238330
30-05-2026,2790.0,Credit,Transfer received,145010
30-05-2026,3420.0,Debit,Atta flour,311870
30-05-2026,2970.0,Debit,Rashan grocery kharcha,272120
30-05-2026,2300.0,Debit,Fuel,253900
30-05-2026,1240.0,Debit,Fuel,225080
30-05-2026,3110.0,Debit,Rashan grocery kharcha,181650
31-05-2026,3530.0,Debit,Rashan grocery kharcha,307310
31-05-2026,2850.0,Debit,Atta flour,163820
31-05-2026,1910.0,Debit,Atta flour,158790
01-06-2026,4720.0,Credit,POS receipt,292820
01-06-2026,4020.0,Credit,Shop sale,310380
01-06-2026,1030.0,Debit,Fuel,310840
01-06-2026,340.0,Debit,Mobile easyload topup,306970
01-06-2026,330.0,Debit,Mobile easyload topup,222530
01-06-2026,2090.0,Debit,Misc kharcha,200310
02-06-2026,3020.0,Credit,QR sale customer,89420
03-06-2026,4400.0,Credit,Shop sale,163860
03-06-2026,5930.0,Credit,POS receipt,325230
03-06-2026,2010.0,Debit,Fuel,290500
03-06-2026,2670.0,Debit,Misc kharcha,260670
03-06-2026,1240.0,Debit,P2P sent,230490
04-06-2026,5200.0,Credit,QR sale customer,120760
04-06-2026,3360.0,Credit,POS receipt,159460
04-06-2026,2500.0,Credit,P2P received wallet,195250
04-06-2026,3160.0,Credit,QR sale customer,279710
04-06-2026,5190.0,Credit,Shop sale,330420
04-06-2026,3380.0,Debit,Rashan grocery kharcha,246840
05-06-2026,4780.0,Credit,POS receipt,115560
05-06-2026,2660.0,Credit,QR sale customer,233930
05-06-2026,2980.0,Debit,Atta flour,193170
05-06-2026,2260.0,Debit,Atta flour,184760
06-06-2026,5930.0,Credit,Shop sale,150940
06-06-2026,2970.0,Credit,Shop sale,211530
06-06-2026,2490.0,Debit,Fuel,228000
07-06-2026,4900.0,Credit,POS receipt,174570
07-06-2026,4930.0,Credit,Shop sale,248810
07-06-2026,170.0,Debit,Mobile easyload topup,302280
08-06-2026,4200.0,Credit,Cash in from Bilal,208560
08-06-2026,2380.0,Credit,Shop sale,267150
08-06-2026,4870.0,Credit,POS receipt,297690
08-06-2026,3800.0,Credit,Shop sale,319300
08-06-2026,120.0,Debit,Mobile easyload topup,302870
08-06-2026,3410.0,Debit,Atta flour,268710
09-06-2026,2990.0,Credit,QR sale customer,108170
09-06-2026,4790.0,Credit,QR sale customer,204360
09-06-2026,4990.0,Credit,QR sale customer,238920
09-06-2026,3130.0,Debit,Atta flour,294410
09-06-2026,1360.0,Debit,Fuel,293050
09-06-2026,2220.0,Debit,Atta flour,177000
09-06-2026,980.0,Debit,P2P sent,176020
10-06-2026,4320.0,Credit,POS receipt,133400
10-06-2026,1920.0,Debit,Wholesale stock,244440
10-06-2026,4950.0,Debit,K-Electric bijli bill,211620
11-06-2026,5350.0,Credit,POS receipt,276550
11-06-2026,1430.0,Debit,Misc kharcha,305540
11-06-2026,6260.0,Debit,K-Electric bijli bill,276410
12-06-2026,4890.0,Credit,Transfer received,105180
12-06-2026,5160.0,Credit,Shop sale,156100
12-06-2026,130.0,Debit,Mobile easyload topup,253770
12-06-2026,2220.0,Debit,Atta flour,240420
12-06-2026,2860.0,Debit,Wholesale stock,166670
13-06-2026,3470.0,Credit,P2P received wallet,306360
13-06-2026,3550.0,Debit,Atta flour,250220
13-06-2026,2220.0,Debit,Fuel,222860
13-06-2026,2960.0,Debit,Atta flour,219570
13-06-2026,6410.0,Debit,K-Electric bijli bill,202400
13-06-2026,3120.0,Debit,Atta flour,160700
14-06-2026,4290.0,Credit,POS receipt,96180
14-06-2026,5140.0,Credit,POS receipt,179710
14-06-2026,2040.0,Debit,Misc kharcha,297540
14-06-2026,3460.0,Debit,Rashan grocery kharcha,257210
15-06-2026,1720.0,Debit,P2P sent,266990
15-06-2026,3000.0,Debit,Transfer sent,216570
15-06-2026,3350.0,Debit,Wholesale stock,188120
16-06-2026,2470.0,Credit,QR sale customer,91890
16-06-2026,5350.0,Credit,POS receipt,142220
16-06-2026,4920.0,Credit,POS receipt,192750
16-06-2026,2550.0,Debit,Wholesale stock,302990
16-06-2026,2430.0,Debit,Misc kharcha,179220
17-06-2026,5120.0,Credit,Shop sale,315500
18-06-2026,1320.0,Debit,P2P sent,275090
18-06-2026,2810.0,Debit,Wholesale stock,208810
18-06-2026,3740.0,Debit,Wholesale stock,169530
19-06-2026,4320.0,Credit,P2P received wallet,199570
19-06-2026,2250.0,Debit,P2P sent,288250
19-06-2026,5580.0,Debit,K-Electric bijli bill,282670
19-06-2026,1560.0,Debit,Rashan grocery kharcha,191610
20-06-2026,3470.0,Credit,QR sale customer,136870
20-06-2026,4840.0,Credit,QR sale customer,187830
20-06-2026,4960.0,Credit,P2P received wallet,243880
20-06-2026,4050.0,Credit,Transfer received,271200
20-06-2026,420.0,Debit,Mobile easyload topup,302450
21-06-2026,3420.0,Credit,POS receipt,124180
21-06-2026,2630.0,Credit,POS receipt,166490
21-06-2026,6050.0,Credit,POS receipt,231270
21-06-2026,4120.0,Credit,P2P received wallet,252930
21-06-2026,3380.0,Debit,Atta flour,319780
21-06-2026,2180.0,Debit,P2P sent,198130
22-06-2026,3180.0,Credit,QR sale customer,169670
22-06-2026,3360.0,Credit,Cash in from Bilal,214890
22-06-2026,5350.0,Credit,Shop sale,220240
22-06-2026,5200.0,Credit,POS receipt,302890
22-06-2026,3650.0,Debit,Wholesale stock,263340
22-06-2026,1010.0,Debit,P2P sent,256200
22-06-2026,1980.0,Debit,Transfer sent,196150
22-06-2026,140.0,Debit,Mobile easyload topup,191470
22-06-2026,2750.0,Debit,Misc kharcha,173270
23-06-2026,3280.0,Credit,QR sale customer,182990
23-06-2026,4980.0,Credit,QR sale customer,225220
23-06-2026,4380.0,Credit,POS receipt,288100
23-06-2026,2090.0,Debit,Atta flour,317690
23-06-2026,480.0,Debit,Mobile easyload topup,246360
23-06-2026,1800.0,Debit,Atta flour,242640
23-06-2026,6600.0,Debit,K-Electric bijli bill,231730
24-06-2026,4110.0,Credit,Cash in from Bilal,100290
24-06-2026,2610.0,Credit,QR sale customer,110780
24-06-2026,5820.0,Credit,POS receipt,258750
24-06-2026,1100.0,Debit,Transfer sent,187020
27-06-2026,4280.0,Credit,Shop sale,362520
27-06-2026,1740.0,Debit,Atta flour,309190
27-06-2026,1830.0,Debit,Atta flour,251240
28-06-2026,3780.0,Debit,Atta flour,326670
28-06-2026,3280.0,Debit,Rashan grocery kharcha,318980
30-06-2026,4210.0,Credit,QR sale customer,169040
30-06-2026,3070.0,Credit,POS receipt,365590
30-06-2026,3150.0,Credit,Shop sale,403130
30-06-2026,580.0,Debit,Mobile easyload topup,377170
30-06-2026,2350.0,Debit,Wholesale stock,281690
01-07-2026,3760.0,Credit,Transfer received,229750
01-07-2026,3180.0,Credit,Shop sale,324010
01-07-2026,3490.0,Credit,Shop sale,399980
02-07-2026,5490.0,Credit,Cash in from Bilal,204600
02-07-2026,3160.0,Credit,Shop sale,260550
02-07-2026,2070.0,Debit,P2P sent,357120
02-07-2026,1730.0,Debit,P2P sent,295850
02-07-2026,1040.0,Debit,Misc kharcha,293290
02-07-2026,2100.0,Debit,Misc kharcha,288580
02-07-2026,1570.0,Debit,P2P sent,249670
03-07-2026,4050.0,Credit,POS receipt,287430
03-07-2026,2530.0,Debit,Wholesale stock,334990
04-07-2026,5150.0,Credit,P2P received wallet,392350
04-07-2026,210.0,Debit,Mobile easyload topup,318450
04-07-2026,1920.0,Debit,Fuel,276040
05-07-2026,4520.0,Credit,Shop sale,244130
05-07-2026,5990.0,Credit,POS receipt,250120
05-07-2026,6080.0,Credit,QR sale customer,305090
05-07-2026,3500.0,Debit,Wholesale stock,403730
05-07-2026,2450.0,Debit,Wholesale stock,374720
05-07-2026,1980.0,Debit,Atta flour,273750
05-07-2026,2080.0,Debit,Wholesale stock,271670
05-07-2026,2500.0,Debit,Misc kharcha,262750
06-07-2026,6040.0,Credit,P2P received wallet,164830
06-07-2026,4780.0,Credit,Cash in from Bilal,217500
06-07-2026,5420.0,Credit,QR sale customer,265970
06-07-2026,6030.0,Credit,POS receipt,272000
06-07-2026,5990.0,Credit,P2P received wallet,283380
06-07-2026,1960.0,Debit,Transfer sent,322260
06-07-2026,2430.0,Debit,Wholesale stock,306760
06-07-2026,2070.0,Debit,Fuel,284040
07-07-2026,4860.0,Credit,POS receipt,177850
07-07-2026,3960.0,Credit,Shop sale,187010
07-07-2026,5910.0,Credit,POS receipt,296300
07-07-2026,2710.0,Credit,Transfer received,299010
07-07-2026,4140.0,Credit,Shop sale,396490
07-07-2026,5400.0,Debit,K-Electric bijli bill,384980
07-07-2026,1830.0,Debit,P2P sent,347560
08-07-2026,5730.0,Credit,POS receipt,195500
08-07-2026,3660.0,Credit,P2P received wallet,253780
08-07-2026,3650.0,Credit,Shop sale,349200
08-07-2026,2450.0,Debit,Rashan grocery kharcha,324220
08-07-2026,2160.0,Debit,Atta flour,279530
08-07-2026,2840.0,Debit,Rashan grocery kharcha,265250
08-07-2026,1970.0,Debit,Atta flour,253070
09-07-2026,2910.0,Credit,POS receipt,220410
09-07-2026,5860.0,Credit,POS receipt,329870
09-07-2026,4470.0,Credit,QR sale customer,345550
09-07-2026,4180.0,Credit,Shop sale,369770
09-07-2026,4740.0,Credit,QR sale customer,378880
09-07-2026,2570.0,Debit,Atta flour,379810
09-07-2026,180.0,Debit,Mobile easyload topup,286110
10-07-2026,2600.0,Debit,Rashan grocery kharcha,382380
10-07-2026,4870.0,Debit,K-Electric bijli bill,310930
11-07-2026,4130.0,Credit,Transfer received,336600
11-07-2026,4370.0,Credit,QR sale customer,374140
11-07-2026,2120.0,Debit,Wholesale stock,395310
11-07-2026,310.0,Debit,Mobile easyload topup,275730
12-07-2026,4100.0,Credit,Cash in from Bilal,407230
12-07-2026,2510.0,Debit,P2P sent,372210
12-07-2026,370.0,Debit,Mobile easyload topup,364810
12-07-2026,1280.0,Debit,Transfer sent,333710
12-07-2026,2610.0,Debit,Transfer sent,290680
13-07-2026,4480.0,Credit,QR sale customer,341080
13-07-2026,910.0,Debit,Misc kharcha,365180
13-07-2026,3580.0,Debit,Atta flour,361230
13-07-2026,1570.0,Debit,Transfer sent,277960
13-07-2026,2180.0,Debit,Atta flour,258650
14-07-2026,2760.0,Credit,QR sale customer,189770
14-07-2026,3100.0,Credit,POS receipt,308190
14-07-2026,5860.0,Credit,Shop sale,358240
14-07-2026,320.0,Debit,Mobile easyload topup,318660
15-07-2026,3340.0,Credit,Shop sale,207940
15-07-2026,4780.0,Credit,P2P received wallet,212720
15-07-2026,2550.0,Credit,POS receipt,387200
15-07-2026,1580.0,Debit,Fuel,303100
16-07-2026,3600.0,Debit,Atta flour,397430
16-07-2026,2910.0,Debit,Misc kharcha,300190
16-07-2026,1520.0,Debit,Rashan grocery kharcha,294330
16-07-2026,1590.0,Debit,Atta flour,257060
17-07-2026,3950.0,Credit,POS receipt,172990
17-07-2026,5580.0,Credit,Shop sale,225990
17-07-2026,5240.0,Credit,Cash in from Bilal,320830
17-07-2026,590.0,Debit,Mobile easyload topup,401030
17-07-2026,2610.0,Debit,Transfer sent,390380
17-07-2026,2040.0,Debit,Fuel,359190
17-07-2026,2080.0,Debit,Misc kharcha,304680
18-07-2026,5200.0,Credit,QR sale customer,183050
18-07-2026,5390.0,Credit,POS receipt,277390
18-07-2026,2510.0,Debit,Fuel,369700
18-07-2026,2060.0,Debit,Misc kharcha,352620
18-07-2026,7170.0,Debit,K-Electric bijli bill,340390
18-07-2026,1920.0,Debit,Transfer sent,260830
19-07-2026,4520.0,Credit,POS receipt,234270
19-07-2026,3180.0,Credit,POS receipt,352380
19-07-2026,3230.0,Debit,Atta flour,349390
19-07-2026,2020.0,Debit,Rashan grocery kharcha,255040
20-07-2026,3610.0,Credit,POS receipt,257390
20-07-2026,3750.0,Credit,Cash in from Bilal,315590
20-07-2026,1800.0,Debit,Atta flour,393510
20-07-2026,2440.0,Debit,Misc kharcha,354680
20-07-2026,2870.0,Debit,P2P sent,337520
20-07-2026,3260.0,Debit,Atta flour,330450
21-07-2026,3610.0,Credit,Cash in from Bilal,199110
21-07-2026,5340.0,Credit,QR sale customer,239610
21-07-2026,2600.0,Credit,QR sale customer,332470
21-07-2026,2610.0,Debit,Transfer sent,297580
22-07-2026,2960.0,Credit,Cash in from Bilal,290390
22-07-2026,3650.0,Credit,QR sale customer,311840
22-07-2026,2110.0,Debit,Transfer sent,401620
22-07-2026,3610.0,Debit,Wholesale stock,366090
22-07-2026,2290.0,Debit,Rashan grocery kharcha,286290
23-07-2026,2650.0,Debit,Wholesale stock,315800
24-07-2026,5770.0,Credit,Shop sale,384650
24-07-2026,520.0,Debit,Mobile easyload topup,392990
24-07-2026,2060.0,Debit,Rashan grocery kharcha,377750
24-07-2026,3580.0,Debit,Rashan grocery kharcha,268090
