Date,Amount,Debit/Credit,Detail,Running Balance
30-05-2026,2190.0,Credit,QR sale customer,39970
30-05-2026,3090.0,Debit,Committee BC contribution,62100
31-05-2026,2900.0,Credit,P2P received wallet,65720
31-05-2026,1050.0,Debit,Fuel,67700
01-06-2026,2990.0,Credit,Shop sale,33780
03-06-2026,1970.0,Credit,QR sale customer,37780
04-06-2026,2710.0,Credit,QR sale customer,60400
04-06-2026,960.0,Debit,Misc kharcha,54000
05-06-2026,1190.0,Debit,Atta flour,68750
06-06-2026,2500.0,Credit,QR sale customer,27780
06-06-2026,1440.0,Debit,Atta flour,57150
07-06-2026,980.0,Debit,Misc kharcha,52010
08-06-2026,1160.0,Debit,Transfer sent,48390
09-06-2026,140.0,Debit,Mobile easyload topup,65190
09-06-2026,1120.0,Debit,Transfer sent,45120
10-06-2026,230.0,Debit,Mobile easyload topup,55650
11-06-2026,1500.0,Credit,Cash in from Bilal,67220
11-06-2026,640.0,Debit,Misc kharcha,67060
11-06-2026,3010.0,Debit,MEPCO bijli bill,58590
11-06-2026,1310.0,Debit,Wholesale stock,50700
12-06-2026,700.0,Debit,Atta flour,69940
13-06-2026,3220.0,Credit,POS receipt,50200
13-06-2026,1410.0,Credit,P2P received wallet,70640
14-06-2026,2460.0,Credit,Cash in from Bilal,57690
15-06-2026,3500.0,Credit,QR sale customer,23840
15-06-2026,3010.0,Credit,QR sale customer,30790
15-06-2026,2790.0,Credit,QR sale customer,46980
15-06-2026,500.0,Debit,Transfer sent,61600
15-06-2026,1150.0,Debit,Rashan grocery kharcha,49550
16-06-2026,2790.0,Credit,POS receipt,55230
16-06-2026,780.0,Debit,Fuel,66280
16-06-2026,120.0,Debit,Mobile easyload topup,44180
17-06-2026,1680.0,Credit,Cash in from Bilal,44190
17-06-2026,2240.0,Credit,POS receipt,52440
17-06-2026,820.0,Debit,Rashan grocery kharcha,44300
18-06-2026,690.0,Debit,Transfer sent,54960
21-06-2026,1560.0,Debit,Wholesale stock,46830
22-06-2026,1440.0,Credit,QR sale customer,25280
22-06-2026,2030.0,Credit,Cash in from Bilal,35810
22-06-2026,1010.0,Debit,P2P sent,52990
24-06-2026,950.0,Debit,Atta flour,65330
24-06-2026,1270.0,Debit,Wholesale stock,55880
27-06-2026,680.0,Debit,Fuel,71150
28-06-2026,660.0,Debit,Fuel,94510
28-06-2026,270.0,Debit,Mobile easyload topup,73470
29-06-2026,2790.0,Credit,Cash in from Bilal,61910
29-06-2026,730.0,Debit,Rashan grocery kharcha,89420
29-06-2026,1080.0,Debit,Rashan grocery kharcha,69210
30-06-2026,1430.0,Credit,POS receipt,70090
01-07-2026,2160.0,Credit,Shop sale,87850
01-07-2026,3080.0,Debit,Committee BC contribution,82160
01-07-2026,1640.0,Debit,Wholesale stock,71830
02-07-2026,1050.0,Debit,P2P sent,80600
03-07-2026,2020.0,Credit,P2P received wallet,59120
03-07-2026,920.0,Debit,Atta flour,93590
04-07-2026,1780.0,Credit,POS receipt,66140
04-07-2026,3090.0,Credit,QR sale customer,90940
04-07-2026,270.0,Debit,Mobile easyload topup,70290
05-07-2026,510.0,Debit,Misc kharcha,81650
06-07-2026,2520.0,Credit,P2P received wallet,68660
07-07-2026,1780.0,Credit,Shop sale,92720
07-07-2026,690.0,Debit,Transfer sent,68520
08-07-2026,830.0,Debit,Fuel,90150
09-07-2026,3420.0,Credit,Cash in from Bilal,83290
10-07-2026,2450.0,Credit,POS receipt,95170
10-07-2026,1380.0,Debit,Rashan grocery kharcha,90980
11-07-2026,2450.0,Credit,P2P received wallet,64360
11-07-2026,3360.0,Credit,P2P received wallet,78480
11-07-2026,1320.0,Debit,Wholesale stock,88100
11-07-2026,640.0,Debit,Misc kharcha,85960
12-07-2026,1230.0,Debit,Atta flour,92360
14-07-2026,1390.0,Credit,QR sale customer,79870
14-07-2026,1500.0,Debit,Rashan grocery kharcha,86600
14-07-2026,150.0,Debit,Mobile easyload topup,80450
15-07-2026,2710.0,Credit,QR sale customer,72800
15-07-2026,930.0,Debit,Wholesale stock,76520
16-07-2026,3500.0,Credit,P2P received wallet,50200
17-07-2026,3410.0,Credit,Transfer received,57100
17-07-2026,2780.0,Debit,Committee BC contribution,73740
18-07-2026,2520.0,Credit,POS receipt,46700
19-07-2026,2320.0,Credit,POS receipt,75120
19-07-2026,2400.0,Credit,Transfer received,85690
19-07-2026,540.0,Debit,Fuel,77450
21-07-2026,720.0,Debit,Misc kharcha,85240
22-07-2026,1460.0,Credit,P2P received wallet,53690
23-07-2026,2030.0,Credit,QR sale customer,52230
24-07-2026,2460.0,Debit,MEPCO bijli bill,77990
24-07-2026,590.0,Debit,Mobile easyload topup,70560
